"Player","Team","REC","YDS","TDS","ATT","YDS","TDS","FL","FPTS"
"Cody Hollister","TEN","0.7","8.0","0.0","0.0","0.0","0.0","0.0","1.2"
"Fred Brown","TEN","0.7","8.0","0.0","0.0","0.0","0.0","0.0","1.2"
"Justin Hardy","CHI","0.7","8.0","0.0","0.0","0.0","0.0","0.0","1.1"
"Tyrie Cleveland","DEN","0.7","8.0","0.0","0.0","0.0","0.0","0.0","1.1"
"Kevin White","SF","0.7","8.0","0.0","0.0","0.0","0.0","0.0","1.1"
"C.J. Board","NYG","0.7","7.7","0.0","0.0","0.0","0.0","0.0","1.1"
"Keith Kirkwood","CAR","0.7","7.6","0.0","0.0","0.0","0.0","0.0","1.1"
"Jordan Matthews","SF","0.7","7.6","0.0","0.0","0.0","0.0","0.0","1.1"
"Ryan Switzer","CLE","0.8","7.1","0.0","0.0","0.0","0.0","0.0","1.1"
""
""
